Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear,DevEnviron
7795.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,Angular/Angular.js,Angular/Angular.js,Notepad++
7796.0,C,JavaScript,Firebase,Cassandra,Android,Android,React.js,Django,Android Studio
7797.0,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,jQuery,Atom
7798.0,HTML/CSS,HTML/CSS,MySQL,MariaDB,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Eclipse
7799.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,MacOS,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
7803.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,MariaDB,Android,Android,Angular/Angular.js,Express,Android Studio
7804.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Docker,AWS,jQuery,Django,Atom
7808.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,PostgreSQL,Linux,Docker,ASP.NET,Angular/Angular.js,Notepad++
7809.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Android,Android,jQuery,React.js,Android Studio
7812.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Linux,Docker,Angular/Angular.js,Django,Vim
7815.0,Java,Kotlin,Firebase,Firebase,Android,Android,jQuery,React.js,Android Studio
7817.0,Bash/Shell/PowerShell,Kotlin,Elasticsearch,PostgreSQL,Android,Android,Angular/Angular.js,React.js,Android Studio
7818.0,C,C#,Microsoft SQL Server,DynamoDB,AWS,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
7820.0,HTML/CSS,PHP,Microsoft SQL Server,PostgreSQL,Android,Android,jQuery,React.js,Android Studio
7822.0,Scala,Scala,SQLite,SQLite,Android,Android,Other(s):,Other(s):,IntelliJ
7823.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Google Cloud Platform,Docker,jQuery,React.js,Eclipse
7825.0,C#,C#,MongoDB,Firebase,AWS,Docker,Angular/Angular.js,Angular/Angular.js,Android Studio
7828.0,C#,C#,Elasticsearch,Elasticsearch,Docker,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
7830.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,Google Cloud Platform,Google Cloud Platform,jQuery,Django,Vim
7831.0,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,MariaDB,iOS,Kubernetes,jQuery,React.js,Eclipse
7832.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,PostgreSQL,AWS,AWS,Flask,Django,Vim
7833.0,C#,HTML/CSS,MongoDB,PostgreSQL,Android,Arduino,ASP.NET,Angular/Angular.js,PyCharm
7834.0,HTML/CSS,Elixir,DynamoDB,PostgreSQL,AWS,AWS,Angular/Angular.js,Ruby on Rails,Atom
7840.0,Bash/Shell/PowerShell,Python,PostgreSQL,PostgreSQL,Docker,Docker,jQuery,Flask,Visual Studio Code
7843.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,Elasticsearch,Linux,AWS,ASP.NET,ASP.NET,Notepad++
7845.0,C#,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,MacOS,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
7846.0,HTML/CSS,Go,PostgreSQL,Elasticsearch,Docker,Android,Flask,Flask,IPython / Jupyter
7847.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,Windows,AWS,React.js,React.js,Sublime Text
7848.0,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,AWS,AWS,Express,Express,IntelliJ
7850.0,Java,C#,MariaDB,MariaDB,Docker,AWS,jQuery,React.js,IntelliJ
7852.0,HTML/CSS,HTML/CSS,MariaDB,MySQL,AWS,Docker,Angular/Angular.js,Django,Visual Studio Code
7854.0,HTML/CSS,HTML/CSS,MySQL,PostgreSQL,Android,AWS,jQuery,jQuery,Atom
7855.0,Bash/Shell/PowerShell,Clojure,SQLite,PostgreSQL,Arduino,iOS,React.js,React.js,Atom
7857.0,JavaScript,Rust,MariaDB,PostgreSQL,Linux,Linux,Other(s):,Other(s):,IntelliJ
7860.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Windows,ASP.NET,ASP.NET,Notepad++
7862.0,HTML/CSS,C++,DynamoDB,Cassandra,AWS,AWS,Angular/Angular.js,Express,IntelliJ
7863.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,Angular/Angular.js,ASP.NET,Visual Studio
7865.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Couchbase,Couchbase,AWS,Android,Angular/Angular.js,Angular/Angular.js,IntelliJ
7866.0,HTML/CSS,Bash/Shell/PowerShell,PostgreSQL,DynamoDB,Linux,Android,Django,Drupal,Vim
7867.0,Python,C++,MySQL,MySQL,Linux,Linux,jQuery,React.js,IntelliJ
7868.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,PostgreSQL,Microsoft Azure,Android,ASP.NET,ASP.NET,Visual Studio
7873.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,iOS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
7877.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Linux,Linux,jQuery,Flask,IntelliJ
7878.0,C#,Bash/Shell/PowerShell,Microsoft SQL Server,MongoDB,Windows,Docker,Angular/Angular.js,Angular/Angular.js,Notepad++
7879.0,C#,C++,MongoDB,MongoDB,Android,Android,ASP.NET,ASP.NET,Android Studio
7881.0,C#,Assembly,Microsoft SQL Server,Elasticsearch,Arduino,Android,ASP.NET,Angular/Angular.js,Notepad++
7884.0,C++,C++,MySQL,MySQL,Android,Arduino,Drupal,jQuery,Android Studio
7888.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Vim
7889.0,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,Linux,Android,Spring,jQuery,Eclipse
7892.0,C,HTML/CSS,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Sublime Text
7893.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
7894.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Linux,Django,Django,Notepad++
7896.0,Bash/Shell/PowerShell,HTML/CSS,MySQL,MySQL,Android,Android,Express,Express,Atom
7901.0,Bash/Shell/PowerShell,Clojure,MongoDB,MongoDB,Windows,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
7902.0,C,HTML/CSS,MySQL,MariaDB,Docker,Docker,jQuery,Angular/Angular.js,IntelliJ
7904.0,HTML/CSS,Go,MongoDB,Cassandra,Android,IBM Cloud or Watson,Express,Express,Eclipse
7907.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Visual Studio
7909.0,HTML/CSS,Dart,Elasticsearch,Elasticsearch,AWS,AWS,Spring,Spring,IntelliJ
7910.0,C#,F#,MongoDB,MongoDB,Microsoft Azure,AWS,ASP.NET,Express,Notepad++
7913.0,HTML/CSS,Java,MySQL,MySQL,Android,Android,jQuery,React.js,Android Studio
7915.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Android,Windows,Spring,Spring,Android Studio
7916.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Arduino,Angular/Angular.js,Angular/Angular.js,Notepad++
7918.0,C++,C++,MySQL,PostgreSQL,Android,Android,jQuery,React.js,RStudio
7920.0,HTML/CSS,HTML/CSS,MongoDB,Oracle,Linux,Linux,Express,Express,Eclipse
7922.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,DynamoDB,Docker,Docker,ASP.NET,Angular/Angular.js,Eclipse
7923.0,Assembly,Assembly,MongoDB,PostgreSQL,Linux,Linux,ASP.NET,ASP.NET,Vim
7926.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MySQL,Android,Android,jQuery,jQuery,Android Studio
7933.0,HTML/CSS,Kotlin,Elasticsearch,PostgreSQL,AWS,Linux,jQuery,Spring,Eclipse
7934.0,Bash/Shell/PowerShell,Elixir,Elasticsearch,Elasticsearch,Arduino,Android,jQuery,React.js,Atom
7936.0,Bash/Shell/PowerShell,Go,MySQL,PostgreSQL,Docker,iOS,Angular/Angular.js,ASP.NET,PyCharm
7938.0,HTML/CSS,C#,MySQL,Elasticsearch,Docker,AWS,Angular/Angular.js,Express,Visual Studio Code
7939.0,Go,Go,MariaDB,DynamoDB,AWS,AWS,Express,Express,Vim
7941.0,Java,Scala,MongoDB,Cassandra,AWS,Google Cloud Platform,Other(s):,Other(s):,Atom
7944.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,ASP.NET,ASP.NET,Notepad++
7946.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,Android,Android,Vue.js,Django,Sublime Text
7947.0,HTML/CSS,Java,MySQL,Cassandra,AWS,AWS,Angular/Angular.js,React.js,IntelliJ
7950.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,Docker,Android,ASP.NET,ASP.NET,Emacs
7951.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Docker,Docker,ASP.NET,ASP.NET,IntelliJ
7953.0,Bash/Shell/PowerShell,C#,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
7954.0,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Docker,Docker,Express,Express,IntelliJ
7957.0,C#,C,MongoDB,MongoDB,AWS,Android,ASP.NET,ASP.NET,Visual Studio
7958.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MariaDB,Linux,Linux,Django,Django,Vim
7959.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,MariaDB,Linux,Android,jQuery,ASP.NET,Notepad++
7962.0,JavaScript,Go,MariaDB,MariaDB,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Sublime Text
7963.0,Assembly,C#,Firebase,Firebase,Google Cloud Platform,Google Cloud Platform,jQuery,React.js,Visual Studio Code
7964.0,C#,C#,DynamoDB,PostgreSQL,AWS,Docker,Angular/Angular.js,ASP.NET,Vim
7965.0,HTML/CSS,Dart,MySQL,PostgreSQL,Android,Linux,React.js,Angular/Angular.js,Visual Studio Code
7967.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Android,Android,Angular/Angular.js,Angular/Angular.js,Visual Studio
7968.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,WordPress,Android,ASP.NET,ASP.NET,Notepad++
7975.0,C#,C#,Microsoft SQL Server,MongoDB,Windows,Docker,ASP.NET,Angular/Angular.js,Notepad++
7976.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
7985.0,Bash/Shell/PowerShell,JavaScript,DynamoDB,Cassandra,Android,Android,Angular/Angular.js,React.js,Atom
7986.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,PostgreSQL,Docker,Docker,Angular/Angular.js,Angular/Angular.js,Atom
7988.0,HTML/CSS,HTML/CSS,MariaDB,Elasticsearch,Slack,Android,jQuery,Angular/Angular.js,PHPStorm
7989.0,Bash/Shell/PowerShell,Dart,Firebase,Cassandra,Android,Docker,Angular/Angular.js,Django,Android Studio
7990.0,Assembly,Bash/Shell/PowerShell,Firebase,MongoDB,Android,Android,Django,ASP.NET,Android Studio
7991.0,C#,C#,Firebase,Firebase,Google Cloud Platform,Google Cloud Platform,Angular/Angular.js,Angular/Angular.js,Visual Studio
7992.0,JavaScript,JavaScript,Elasticsearch,Elasticsearch,AWS,AWS,Express,Express,Atom
7993.0,HTML/CSS,Clojure,PostgreSQL,PostgreSQL,AWS,Linux,Angular/Angular.js,React.js,Sublime Text
7994.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,jQuery,React.js,Sublime Text
7996.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Cassandra,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
7998.0,HTML/CSS,Swift,MySQL,PostgreSQL,Heroku,Linux,jQuery,React.js,PHPStorm
8000.0,C,Clojure,Microsoft SQL Server,Cassandra,Windows,Android,jQuery,Django,NetBeans
8001.0,C#,C#,MongoDB,MongoDB,Microsoft Azure,AWS,ASP.NET,Angular/Angular.js,Visual Studio
8002.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,Cassandra,AWS,AWS,Angular/Angular.js,Django,IPython / Jupyter
8004.0,HTML/CSS,JavaScript,Microsoft SQL Server,MongoDB,Linux,Linux,Express,Express,Atom
8005.0,Bash/Shell/PowerShell,Go,MySQL,DynamoDB,AWS,Linux,Spring,Express,IntelliJ
8006.0,Python,Bash/Shell/PowerShell,MongoDB,Firebase,AWS,Android,Flask,Flask,IPython / Jupyter
8007.0,Bash/Shell/PowerShell,Go,Firebase,DynamoDB,Docker,Docker,Angular/Angular.js,Django,Emacs
8013.0,HTML/CSS,HTML/CSS,Firebase,MySQL,Docker,Docker,Angular/Angular.js,Angular/Angular.js,IntelliJ
8017.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Elasticsearch,Android,AWS,Angular/Angular.js,ASP.NET,Notepad++
8019.0,Bash/Shell/PowerShell,C#,Couchbase,Elasticsearch,Android,Android,Django,Django,Android Studio
8020.0,C#,C#,MariaDB,Elasticsearch,Microsoft Azure,AWS,ASP.NET,ASP.NET,Visual Studio
8021.0,Java,Elixir,Couchbase,Couchbase,Docker,Docker,Express,Express,IntelliJ
8023.0,HTML/CSS,HTML/CSS,MariaDB,MariaDB,Linux,Docker,jQuery,jQuery,PHPStorm
8024.0,HTML/CSS,C,MySQL,MongoDB,Other(s):,Other(s):,jQuery,Laravel,IntelliJ
8026.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,jQuery,React.js,IntelliJ
8030.0,Bash/Shell/PowerShell,C#,DynamoDB,PostgreSQL,AWS,Linux,jQuery,React.js,Atom
8033.0,C#,C#,MongoDB,MariaDB,Android,Android,Angular/Angular.js,ASP.NET,Android Studio
8034.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,MongoDB,Android,Android,Angular/Angular.js,Django,Notepad++
8036.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET,Notepad++
8037.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,Arduino,Angular/Angular.js,Angular/Angular.js,Notepad++
8039.0,Assembly,C#,Microsoft SQL Server,Elasticsearch,Android,Android,jQuery,ASP.NET,Android Studio
8041.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Cassandra,Android,Android,ASP.NET,Vue.js,Android Studio
8043.0,C#,Go,MariaDB,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js,Eclipse
8047.0,C,C#,Microsoft SQL Server,Microsoft SQL Server,Android,Linux,Angular/Angular.js,ASP.NET,Android Studio
8048.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Docker,Linux,Angular/Angular.js,ASP.NET,Notepad++
8049.0,Bash/Shell/PowerShell,Erlang,Oracle,Oracle,Android,Android,Django,Django,IntelliJ
8050.0,Go,Go,Elasticsearch,Elasticsearch,Docker,AWS,Flask,React.js,IPython / Jupyter
8051.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
8055.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,AWS,Docker,Angular/Angular.js,React.js,Eclipse
8056.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Elasticsearch,Linux,Arduino,Express,Django,NetBeans
8058.0,HTML/CSS,Python,MySQL,Microsoft SQL Server,Windows,AWS,jQuery,jQuery,IPython / Jupyter
8063.0,C#,C#,Microsoft SQL Server,Elasticsearch,Microsoft Azure,Docker,ASP.NET,ASP.NET,Notepad++
8064.0,Bash/Shell/PowerShell,F#,Microsoft SQL Server,Cassandra,Docker,AWS,ASP.NET,Vue.js,Atom
8065.0,C#,JavaScript,Microsoft SQL Server,MongoDB,Microsoft Azure,Google Cloud Platform,ASP.NET,jQuery,Visual Studio
8067.0,Java,Go,Cassandra,DynamoDB,AWS,AWS,Spring,Spring,Eclipse
8068.0,Java,HTML/CSS,MySQL,DynamoDB,AWS,AWS,Spring,Angular/Angular.js,IntelliJ
8071.0,F#,HTML/CSS,Cassandra,PostgreSQL,AWS,AWS,ASP.NET,React.js,Visual Studio Code
8073.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,Elasticsearch,Linux,Linux,Drupal,Drupal,Sublime Text
8074.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,Android,ASP.NET,ASP.NET,Android Studio
8079.0,Assembly,Assembly,Microsoft SQL Server,Microsoft SQL Server,Slack,Slack,Angular/Angular.js,Angular/Angular.js,Notepad++
8083.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,MongoDB,Linux,Linux,Drupal,Angular/Angular.js,NetBeans
8084.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,Django,Flask,Vim
8085.0,C,Java,Firebase,Firebase,Android,Android,jQuery,React.js,Android Studio
8086.0,Bash/Shell/PowerShell,Python,Cassandra,Cassandra,Docker,Kubernetes,Django,ASP.NET,Sublime Text
8088.0,Assembly,Assembly,MariaDB,Cassandra,Linux,Android,jQuery,jQuery,Sublime Text
8091.0,Java,Java,SQLite,SQLite,Android,Android,jQuery,React.js,Android Studio
8094.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,jQuery,jQuery,Eclipse
8096.0,Bash/Shell/PowerShell,C#,Elasticsearch,Microsoft SQL Server,Android,Android,ASP.NET,ASP.NET,Notepad++
8097.0,Python,Go,Elasticsearch,DynamoDB,AWS,AWS,jQuery,Django,IntelliJ
8098.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Elasticsearch,Microsoft Azure,AWS,Angular/Angular.js,Angular/Angular.js,Visual Studio
8101.0,Bash/Shell/PowerShell,JavaScript,PostgreSQL,Firebase,Google Cloud Platform,Arduino,jQuery,Angular/Angular.js,Eclipse
8102.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,PostgreSQL,Android,Arduino,jQuery,React.js,Visual Studio Code
8105.0,Python,Python,MongoDB,PostgreSQL,Linux,Linux,Other(s):,React.js,PyCharm
8109.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Arduino,Android,jQuery,React.js,Sublime Text
8112.0,Bash/Shell/PowerShell,Elixir,DynamoDB,DynamoDB,AWS,Arduino,Angular/Angular.js,Angular/Angular.js,Eclipse
8115.0,HTML/CSS,HTML/CSS,Elasticsearch,Elasticsearch,AWS,AWS,Django,Django,IPython / Jupyter
8118.0,JavaScript,Go,Microsoft SQL Server,Elasticsearch,Arduino,Docker,Flask,Flask,IPython / Jupyter
8132.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,PostgreSQL,PostgreSQL,Android,Docker,Flask,Flask,IPython / Jupyter
8133.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Linux,Angular/Angular.js,Laravel,IntelliJ
8135.0,C#,Java,PostgreSQL,PostgreSQL,Windows,Windows,jQuery,React.js,Eclipse
8140.0,HTML/CSS,HTML/CSS,MySQL,Elasticsearch,Linux,Docker,Angular/Angular.js,Angular/Angular.js,Visual Studio Code
8143.0,Java,Java,MariaDB,MariaDB,Android,Android,jQuery,jQuery,Android Studio
8144.0,C#,C#,MariaDB,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
8145.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Google Cloud Platform,ASP.NET,Angular/Angular.js,Visual Studio
8146.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,jQuery,React.js,IPython / Jupyter
8151.0,HTML/CSS,Go,MariaDB,MongoDB,Google Cloud Platform,Google Cloud Platform,jQuery,Laravel,PHPStorm
8153.0,Assembly,Dart,Firebase,MongoDB,Android,Arduino,Angular/Angular.js,Django,Android Studio
8154.0,JavaScript,C#,Elasticsearch,Cassandra,AWS,AWS,Express,Express,Vim
8162.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,Linux,Linux,jQuery,React.js,IntelliJ
8164.0,Python,JavaScript,Other(s):,MySQL,AWS,AWS,jQuery,React.js,IPython / Jupyter
8165.0,Bash/Shell/PowerShell,Go,MySQL,PostgreSQL,Google Cloud Platform,Google Cloud Platform,Express,Express,Visual Studio Code
8166.0,Assembly,Assembly,MySQL,Microsoft SQL Server,Linux,Android,jQuery,Angular/Angular.js,Eclipse
8167.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,AWS,ASP.NET,Other(s):,Notepad++
8174.0,C,C++,Microsoft SQL Server,Microsoft SQL Server,Android,Android,ASP.NET,Angular/Angular.js,Android Studio
8176.0,C#,C#,Couchbase,Microsoft SQL Server,Windows,Android,ASP.NET,Angular/Angular.js,Notepad++
8177.0,C++,C++,DynamoDB,DynamoDB,AWS,AWS,ASP.NET,React.js,Eclipse
8182.0,C,Clojure,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,Express,Android Studio
8187.0,C++,C++,MariaDB,PostgreSQL,Arduino,Arduino,jQuery,React.js,Vim
8188.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Linux,Linux,Angular/Angular.js,Angular/Angular.js,Notepad++
8189.0,HTML/CSS,HTML/CSS,DynamoDB,DynamoDB,Android,Android,Angular/Angular.js,Angular/Angular.js,Android Studio
8193.0,HTML/CSS,HTML/CSS,PostgreSQL,Couchbase,Arduino,Arduino,Flask,Express,Visual Studio Code
8194.0,Go,Bash/Shell/PowerShell,MariaDB,MongoDB,Linux,Google Cloud Platform,jQuery,React.js,PHPStorm
8195.0,C,Java,Firebase,Firebase,Android,Android,ASP.NET,Django,Android Studio
8197.0,JavaScript,JavaScript,MongoDB,Elasticsearch,Windows,AWS,jQuery,jQuery,NetBeans
8198.0,HTML/CSS,Python,MariaDB,DynamoDB,AWS,AWS,Django,Django,IntelliJ
8200.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,Docker,Django,Django,IPython / Jupyter
8201.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,PostgreSQL,Docker,Android,ASP.NET,ASP.NET,Visual Studio
8202.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MongoDB,Cassandra,Docker,Docker,Django,Django,Eclipse
8204.0,Python,C++,MongoDB,MongoDB,Linux,AWS,Django,Django,IPython / Jupyter
8205.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,AWS,AWS,Django,Django,IntelliJ
8206.0,C#,C#,DynamoDB,PostgreSQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js,IntelliJ
8207.0,C#,C#,MariaDB,MariaDB,Windows,Windows,ASP.NET,ASP.NET,Visual Studio
8208.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Firebase,Android,Arduino,jQuery,Laravel,Android Studio
8212.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,MariaDB,Docker,Docker,Drupal,Drupal,IntelliJ
8213.0,Java,JavaScript,MySQL,Oracle,AWS,AWS,Angular/Angular.js,Angular/Angular.js,Notepad++
8214.0,C++,C++,Firebase,MySQL,Android,Android,Angular/Angular.js,Vue.js,Visual Studio Code
8216.0,Java,C++,PostgreSQL,PostgreSQL,Android,Android,jQuery,React.js,Android Studio
8218.0,HTML/CSS,HTML/CSS,MySQL,MySQL,AWS,AWS,Angular/Angular.js,Angular/Angular.js,IntelliJ
8222.0,C#,C#,Firebase,Microsoft SQL Server,Windows,Android,ASP.NET,ASP.NET,Notepad++
8225.0,C,C,Firebase,Firebase,Android,Android,Express,Express,Atom
8230.0,Python,Python,Oracle,Cassandra,Raspberry Pi,Raspberry Pi,jQuery,Flask,RStudio
8238.0,HTML/CSS,HTML/CSS,MariaDB,MariaDB,Docker,Docker,jQuery,jQuery,PHPStorm
8239.0,HTML/CSS,JavaScript,MySQL,MongoDB,Windows,Linux,jQuery,Django,IPython / Jupyter
8241.0,Ruby,Ruby,SQLite,Firebase,iOS,Docker,jQuery,React.js,Atom
8242.0,HTML/CSS,C,Couchbase,DynamoDB,AWS,Arduino,Angular/Angular.js,React.js,Vim
8245.0,Bash/Shell/PowerShell,C#,Microsoft SQL Server,PostgreSQL,Android,Android,ASP.NET,ASP.NET,Visual Studio
8246.0,C#,JavaScript,Microsoft SQL Server,MariaDB,Android,iOS,jQuery,Ruby on Rails,Android Studio
8247.0,JavaScript,TypeScript,PostgreSQL,PostgreSQL,Linux,Linux,Express,Express,Notepad++
8249.0,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,jQuery,Angular/Angular.js,Notepad++
8250.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Couchbase,Android,Android,Angular/Angular.js,Angular/Angular.js,Emacs
8254.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Cassandra,Docker,AWS,Angular/Angular.js,Angular/Angular.js,Eclipse
8258.0,Java,HTML/CSS,Elasticsearch,Elasticsearch,Docker,Android,Spring,Angular/Angular.js,Eclipse
8263.0,Bash/Shell/PowerShell,JavaScript,Microsoft SQL Server,Cassandra,Android,Linux,ASP.NET,React.js,NetBeans
8264.0,HTML/CSS,Go,MySQL,PostgreSQL,Heroku,Linux,Angular/Angular.js,React.js,Visual Studio Code
8266.0,C,HTML/CSS,MariaDB,MariaDB,AWS,AWS,Express,Laravel,Sublime Text
8267.0,Assembly,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,jQuery,React.js,Notepad++
8271.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Microsoft SQL Server,Microsoft SQL Server,Raspberry Pi,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
8272.0,HTML/CSS,JavaScript,MariaDB,Redis,Linux,Android,jQuery,React.js,IntelliJ
8273.0,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Redis,PostgreSQL,Android,Android,jQuery,React.js,Emacs
8276.0,C#,C#,Firebase,Firebase,Android,Android,Angular/Angular.js,Angular/Angular.js,Notepad++
8281.0,JavaScript,C++,MySQL,Elasticsearch,AWS,AWS,Laravel,React.js,Visual Studio Code
